
0.017120979342    SN.node[227].Communication.MAC           EVENT:POS | Node:227 | x:5000 | y:5000 | Type:Vehicle
0.017154692928    SN.node[364].Communication.MAC           EVENT:POS | Node:364 | x:5000 | y:5000 | Type:Vehicle
0.017496261093    SN.node[185].Communication.MAC           EVENT:POS | Node:185 | x:5000 | y:5000 | Type:Vehicle
0.017695253645    SN.node[27].Communication.MAC            EVENT:POS | Node:27 | x:5000 | y:5000 | Type:Vehicle
0.01778645456     SN.node[253].Communication.MAC           EVENT:POS | Node:253 | x:5000 | y:5000 | Type:Vehicle
0.017837284423    SN.node[377].Communication.MAC           EVENT:POS | Node:377 | x:5000 | y:5000 | Type:Vehicle
0.017955376452    SN.node[294].Communication.MAC           EVENT:POS | Node:294 | x:5000 | y:5000 | Type:Vehicle
0.018054188753    SN.node[395].Communication.MAC           EVENT:POS | Node:395 | x:5000 | y:5000 | Type:Vehicle
0.018078238156    SN.node[76].Communication.MAC            EVENT:POS | Node:76 | x:5000 | y:5000 | Type:Vehicle
0.018082530878    SN.node[171].Communication.MAC           EVENT:POS | Node:171 | x:5000 | y:5000 | Type:Vehicle
0.01810881081     SN.node[110].Communication.MAC           EVENT:POS | Node:110 | x:5000 | y:5000 | Type:Vehicle
0.018117022933    SN.node[111].Communication.MAC           EVENT:POS | Node:111 | x:5000 | y:5000 | Type:Vehicle
0.018153813981    SN.node[337].Communication.MAC           EVENT:POS | Node:337 | x:5000 | y:5000 | Type:Vehicle
0.018274083605    SN.node[459].Communication.MAC           EVENT:POS | Node:459 | x:5000 | y:5000 | Type:Vehicle
0.01829702924     SN.node[194].Communication.MAC           EVENT:POS | Node:194 | x:5000 | y:5000 | Type:Vehicle
0.018385149142    SN.node[314].Communication.MAC           EVENT:POS | Node:314 | x:5000 | y:5000 | Type:Vehicle
0.018424013257    SN.node[387].Communication.MAC           EVENT:POS | Node:387 | x:5000 | y:5000 | Type:Vehicle
0.018599015485    SN.node[458].Communication.MAC           EVENT:POS | Node:458 | x:5000 | y:5000 | Type:Vehicle
0.018640575162    SN.node[418].Communication.MAC           EVENT:POS | Node:418 | x:5000 | y:5000 | Type:Vehicle
0.018680005939    SN.node[120].Communication.MAC           EVENT:POS | Node:120 | x:5000 | y:5000 | Type:Vehicle
0.018706236407    SN.node[97].Communication.MAC            EVENT:POS | Node:97 | x:5000 | y:5000 | Type:Vehicle
0.018899702269    SN.node[68].Communication.MAC            EVENT:POS | Node:68 | x:5000 | y:5000 | Type:Vehicle
0.019046443561    SN.node[355].Communication.MAC           EVENT:POS | Node:355 | x:5000 | y:5000 | Type:Vehicle
0.019398562854    SN.node[56].Communication.MAC            EVENT:POS | Node:56 | x:5000 | y:5000 | Type:Vehicle
0.019547900848    SN.node[452].Communication.MAC           EVENT:POS | Node:452 | x:5000 | y:5000 | Type:Vehicle
0.01990684556     SN.node[421].Communication.MAC           EVENT:POS | Node:421 | x:5000 | y:5000 | Type:Vehicle
0.019949547806    SN.node[67].Communication.MAC            EVENT:POS | Node:67 | x:5000 | y:5000 | Type:Vehicle
0.020118032116    SN.node[37].Communication.MAC            EVENT:POS | Node:37 | x:5000 | y:5000 | Type:Vehicle
0.020294949202    SN.node[297].Communication.MAC           EVENT:POS | Node:297 | x:5000 | y:5000 | Type:Vehicle
0.020325995853    SN.node[80].Communication.MAC            EVENT:POS | Node:80 | x:5000 | y:5000 | Type:Vehicle
0.020395849912    SN.node[357].Communication.MAC           EVENT:POS | Node:357 | x:5000 | y:5000 | Type:Vehicle
0.020504566736    SN.node[369].Communication.MAC           EVENT:POS | Node:369 | x:5000 | y:5000 | Type:Vehicle
0.02051601035     SN.node[470].Communication.MAC           EVENT:POS | Node:470 | x:5000 | y:5000 | Type:Vehicle
0.020685934182    SN.node[71].Communication.MAC            EVENT:POS | Node:71 | x:5000 | y:5000 | Type:Vehicle
0.02070634606     SN.node[236].Communication.MAC           EVENT:POS | Node:236 | x:5000 | y:5000 | Type:Vehicle
0.020755059807    SN.node[38].Communication.MAC            EVENT:POS | Node:38 | x:5000 | y:5000 | Type:Vehicle
0.020863344834    SN.node[486].Communication.MAC           EVENT:POS | Node:486 | x:5000 | y:5000 | Type:Vehicle
0.020979138067    SN.node[302].Communication.MAC           EVENT:POS | Node:302 | x:5000 | y:5000 | Type:Vehicle
0.021013324789    SN.node[405].Communication.MAC           EVENT:POS | Node:405 | x:5000 | y:5000 | Type:Vehicle
0.021131220879    SN.node[449].Communication.MAC           EVENT:POS | Node:449 | x:5000 | y:5000 | Type:Vehicle
0.021235080494    SN.node[69].Communication.MAC            EVENT:POS | Node:69 | x:5000 | y:5000 | Type:Vehicle
0.021236497536    SN.node[175].Communication.MAC           EVENT:POS | Node:175 | x:5000 | y:5000 | Type:Vehicle
0.021540750935    SN.node[346].Communication.MAC           EVENT:POS | Node:346 | x:5000 | y:5000 | Type:Vehicle
0.021676714567    SN.node[411].Communication.MAC           EVENT:POS | Node:411 | x:5000 | y:5000 | Type:Vehicle
0.021776027604    SN.node[254].Communication.MAC           EVENT:POS | Node:254 | x:5000 | y:5000 | Type:Vehicle
0.021817854337    SN.node[410].Communication.MAC           EVENT:POS | Node:410 | x:5000 | y:5000 | Type:Vehicle
0.021853097004    SN.node[9].Communication.MAC             EVENT:POS | Node:9 | x:5000 | y:5000 | Type:Vehicle
0.02195013503     SN.node[361].Communication.MAC           EVENT:POS | Node:361 | x:5000 | y:5000 | Type:Vehicle
0.021971076377    SN.node[456].Communication.MAC           EVENT:POS | Node:456 | x:5000 | y:5000 | Type:Vehicle
0.02202268613     SN.node[44].Communication.MAC            EVENT:POS | Node:44 | x:5000 | y:5000 | Type:Vehicle
0.022040491923    SN.node[18].Communication.MAC            EVENT:POS | Node:18 | x:5000 | y:5000 | Type:Vehicle
0.022179383947    SN.node[347].Communication.MAC           EVENT:POS | Node:347 | x:5000 | y:5000 | Type:Vehicle
0.022257252596    SN.node[130].Communication.MAC           EVENT:POS | Node:130 | x:5000 | y:5000 | Type:Vehicle
0.022290508926    SN.node[398].Communication.MAC           EVENT:POS | Node:398 | x:5000 | y:5000 | Type:Vehicle
0.022295022034    SN.node[109].Communication.MAC           EVENT:POS | Node:109 | x:5000 | y:5000 | Type:Vehicle
0.022470059664    SN.node[381].Communication.MAC           EVENT:POS | Node:381 | x:5000 | y:5000 | Type:Vehicle
0.022658614977    SN.node[23].Communication.MAC            EVENT:POS | Node:23 | x:5000 | y:5000 | Type:Vehicle
0.022715589043    SN.node[419].Communication.MAC           EVENT:POS | Node:419 | x:5000 | y:5000 | Type:Vehicle
0.022730388247    SN.node[47].Communication.MAC            EVENT:POS | Node:47 | x:5000 | y:5000 | Type:Vehicle
0.022731104108    SN.node[98].Communication.MAC            EVENT:POS | Node:98 | x:5000 | y:5000 | Type:Vehicle
0.022763967886    SN.node[222].Communication.MAC           EVENT:POS | Node:222 | x:5000 | y:5000 | Type:Vehicle
0.022841661132    SN.node[22].Communication.MAC            EVENT:POS | Node:22 | x:5000 | y:5000 | Type:Vehicle
0.022866608761    SN.node[115].Communication.MAC           EVENT:POS | Node:115 | x:5000 | y:5000 | Type:Vehicle
0.022884319908    SN.node[88].Communication.MAC            EVENT:POS | Node:88 | x:5000 | y:5000 | Type:Vehicle
